rank,tourney,prize,game
83.	,CrossFire Stars 2018	,$900000.00,	CrossFire	 		
84.	,WESG 2018 (CS:GO Male)	,$890000.00,	Counter-Strike: Global Offensive	 		
85.	,WESG 2018 (Dota 2)	,$890000.00,	Dota 2	 		
86.	,CFS 2017	,$850000.00,	CrossFire	 		
87.	,Smite World Championship 2018,	$785000.00,	SMITE	 		
88.	,Esports Championship Series Season 1 - Finals,	$765000.00,	Counter-Strike: Global Offensive	 		
89.	,ESL Pro League S5 Finals	,$750000.00,	Counter-Strike: Global Offensive	 		
90.	,ESL Pro League Season 6 Finals	,$750000.00,	Counter-Strike: Global Offensive	 		
91.	,ESL Pro League Season 7 - Finals,	$750000.00,	Counter-Strike: Global Offensive	 		
92.	,ESL Pro League Season 8 - Finals,	$750000.00,	Counter-Strike: Global Offensive	 		
93.	,Fortnite Fall Skirmish Series - Week 6 - Stream-Vitational,	$730000.00,	Fortnite	 	 	
94.	,2018 CWL Pro League Stage 1	,$700000.00,	Call of Duty: World War II	 		
95.	,2018 CWL Pro League Stage 2	,$700000.00,	Call of Duty: World War II	 		
96.	,CWL 2017 - Global Pro League Stage 1	,$700000.00,	Call of Duty: Infinite Warfare	 		
97.	,CWL 2017 - Global Pro League Stage 2	,$700000.00,	Call of Duty: Infinite Warfare	 		
98.	,Dota2 Professional League Season 2 - Top	,$700000.00,	Dota 2	 		
99.	,WCS 2017 Global Finals	,$700000.00,	StarCraft II	 	 	
100.,	WCS 2018 Global Finals,	$700000.00,	StarCraft II	 	 	
